                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67287,                0.40019,                 1.0487,                0.99965,                      1,                  0.995,                0.76699,                0.89362,                0.36128,                 1.2687,              0.0015515,              0.0015515,              0.0015515
                     37,                0.68167,                 0.3997,                  1.048,                0.99537,                      1,                  0.995,                0.79648,                0.81683,                0.35615,                 1.2195,              0.0015482,              0.0015482,              0.0015482
                     38,                 0.6486,                0.36206,                 1.0368,                0.99969,                      1,                  0.995,                0.77998,                 0.8438,                0.35904,                 1.2304,              0.0015449,              0.0015449,              0.0015449
                     39,                0.65807,                0.38163,                 1.0381,                0.99968,                      1,                  0.995,                0.80868,                0.75384,                0.32922,                  1.143,              0.0015416,              0.0015416,              0.0015416
                     40,                 0.6703,                0.38553,                 1.0534,                0.99803,                      1,                  0.995,                0.79755,                0.81823,                0.33236,                  1.202,              0.0015383,              0.0015383,              0.0015383
                     41,                0.66789,                0.37422,                 1.0497,                0.99924,                      1,                  0.995,                0.81495,                0.75627,                0.32793,                 1.1486,               0.001535,               0.001535,               0.001535
                     42,                0.65578,                 0.3795,                  1.037,                0.99969,                      1,                  0.995,                0.81561,                0.72879,                0.31224,                 1.1338,              0.0015317,              0.0015317,              0.0015317
                     43,                0.63564,                0.36382,                 1.0274,                0.99932,                      1,                  0.995,                0.80441,                0.78245,                0.32433,                 1.1709,              0.0015284,              0.0015284,              0.0015284
                     44,                0.63859,                0.34987,                 1.0268,                0.99347,                      1,                  0.995,                0.79994,                0.78768,                0.33527,                 1.1722,              0.0015251,              0.0015251,              0.0015251
                     45,                0.64505,                0.35303,                 1.0314,                0.99935,                      1,                  0.995,                0.80315,                0.80141,                0.32913,                 1.1826,              0.0015218,              0.0015218,              0.0015218
                     46,                0.62843,                0.35896,                 1.0286,                0.99969,                      1,                  0.995,                 0.8037,                0.79082,                0.31417,                 1.1782,              0.0015185,              0.0015185,              0.0015185
                     47,                   0.64,                0.36348,                 1.0198,                0.99968,                      1,                  0.995,                0.80131,                 0.8029,                0.32917,                 1.2024,              0.0015152,              0.0015152,              0.0015152
                     48,                0.62276,                0.36164,                 1.0139,                 0.9916,                      1,                0.99498,                0.81365,                0.76766,                0.33169,                 1.1676,              0.0015119,              0.0015119,              0.0015119
                     49,                0.59913,                0.33552,                  1.002,                0.99577,                      1,                  0.995,                0.79746,                0.78927,                 0.3168,                 1.1908,              0.0015086,              0.0015086,              0.0015086
                     50,                0.62593,                 0.3466,                 1.0298,                0.99745,                      1,                0.99444,                0.77679,                0.85474,                0.33344,                 1.2426,              0.0015053,              0.0015053,              0.0015053
                     51,                0.63414,                0.35591,                 1.0367,                0.99529,                      1,                0.99492,                0.80591,                0.78152,                0.33612,                 1.1695,               0.001502,               0.001502,               0.001502
                     52,                0.61405,                0.35227,                 1.0153,                0.99973,                      1,                  0.995,                0.79444,                0.78691,                0.31465,                 1.1744,              0.0014987,              0.0014987,              0.0014987
                     53,                0.59932,                0.33783,                  1.005,                 0.9995,                      1,                  0.995,                0.79353,                0.79984,                 0.3242,                 1.1876,              0.0014954,              0.0014954,              0.0014954
                     54,                 0.6188,                0.35433,                 1.0248,                0.99945,                      1,                  0.995,                0.78657,                0.82361,                0.33439,                  1.222,              0.0014921,              0.0014921,              0.0014921
                     55,                0.61271,                0.35274,                 1.0136,                0.99513,                      1,                  0.995,                0.79588,                0.78686,                 0.3115,                 1.1855,              0.0014888,              0.0014888,              0.0014888
                     56,                0.60632,                 0.3431,                 1.0136,                0.99972,                      1,                  0.995,                0.81242,                0.73973,                0.29718,                 1.1516,              0.0014855,              0.0014855,              0.0014855
                     57,                0.62034,                0.35841,                 1.0289,                0.99959,                      1,                  0.995,                0.79066,                0.80584,                0.33695,                 1.1943,              0.0014822,              0.0014822,              0.0014822
                     58,                0.59015,                0.34337,                 1.0025,                0.99941,                      1,                  0.995,                0.80467,                 0.7408,                0.31578,                  1.146,              0.0014789,              0.0014789,              0.0014789
                     59,                 0.5977,                0.33938,                 1.0173,                 0.9975,                      1,                0.99465,                0.79654,                0.79892,                0.32646,                 1.1933,              0.0014756,              0.0014756,              0.0014756
                     60,                0.59304,                0.33213,                 1.0036,                0.99969,                      1,                  0.995,                0.80828,                 0.7863,                0.32065,                 1.1938,              0.0014723,              0.0014723,              0.0014723
                     61,                0.59719,                0.33843,                 1.0164,                0.99959,                      1,                  0.995,                0.81294,                0.75437,                0.32162,                 1.1406,               0.001469,               0.001469,               0.001469
                     62,                0.60822,                0.34766,                 1.0235,                0.99558,                      1,                  0.995,                0.80833,                0.74816,                0.30803,                 1.1561,              0.0014657,              0.0014657,              0.0014657
                     63,                0.62054,                0.34334,                 1.0169,                0.99957,                      1,                  0.995,                0.79034,                0.82627,                0.30998,                 1.2243,              0.0014624,              0.0014624,              0.0014624
                     64,                0.60962,                0.33586,                  1.019,                0.99959,                      1,                  0.995,                0.80224,                0.79416,                0.32709,                 1.2058,              0.0014591,              0.0014591,              0.0014591
                     65,                0.60965,                0.33786,                  1.027,                0.99971,                      1,                  0.995,                0.81636,                0.75745,                0.30546,                 1.1591,              0.0014558,              0.0014558,              0.0014558
                     66,                0.58875,                0.33807,                0.99665,                0.99863,                      1,                  0.995,                0.80628,                0.78552,                 0.3113,                 1.1928,              0.0014525,              0.0014525,              0.0014525
                     67,                0.59616,                0.33491,                 1.0119,                0.99948,                      1,                  0.995,                0.79858,                0.82793,                0.32504,                 1.2211,              0.0014492,              0.0014492,              0.0014492
                     68,                0.57857,                0.32778,                 1.0026,                 0.9996,                      1,                  0.995,                0.79879,                0.78218,                 0.3081,                 1.1648,              0.0014459,              0.0014459,              0.0014459
                     69,                0.61636,                0.33885,                 1.0212,                0.99971,                      1,                  0.995,                0.81275,                 0.7305,                0.31146,                 1.1375,              0.0014426,              0.0014426,              0.0014426
                     70,                0.58555,                0.32616,                      1,                0.99968,                      1,                  0.995,                0.81399,                0.78025,                0.29739,                 1.1846,              0.0014393,              0.0014393,              0.0014393
                     71,                 0.5693,                0.32733,                 1.0048,                0.99961,                      1,                  0.995,                0.80908,                0.79643,                0.31333,                 1.1864,               0.001436,               0.001436,               0.001436
                     72,                0.55883,                0.32754,                 0.9942,                0.99951,                      1,                  0.995,                0.81105,                0.77467,                0.31829,                 1.1641,              0.0014327,              0.0014327,              0.0014327
                     73,                0.56112,                0.31958,                 1.0079,                0.99955,                      1,                  0.995,                0.80556,                0.79618,                0.32022,                 1.2109,              0.0014294,              0.0014294,              0.0014294
                     74,                0.59071,                0.32902,                  1.011,                0.99964,                      1,                  0.995,                0.78531,                0.83428,                 0.3199,                 1.2384,              0.0014261,              0.0014261,              0.0014261
                     75,                0.57898,                0.32253,                 0.9918,                0.99963,                      1,                  0.995,                0.79202,                0.80384,                0.31911,                  1.217,              0.0014228,              0.0014228,              0.0014228
                     76,                 0.5804,                0.32404,                0.99764,                0.99972,                      1,                  0.995,                0.81258,                0.77691,                0.31745,                 1.1798,              0.0014195,              0.0014195,              0.0014195
                     77,                0.57997,                0.32168,                0.99998,                0.99971,                      1,                  0.995,                0.81284,                0.79901,                0.32294,                 1.1949,              0.0014161,              0.0014161,              0.0014161
                     78,                0.56328,                0.31983,                0.99654,                0.99974,                      1,                  0.995,                0.80139,                0.81261,                 0.3162,                 1.1991,              0.0014128,              0.0014128,              0.0014128
                     79,                0.55613,                0.31547,                0.99286,                0.99967,                      1,                  0.995,                0.80834,                0.77594,                0.31117,                 1.1877,              0.0014095,              0.0014095,              0.0014095
                     80,                0.56642,                0.30729,                0.99716,                 0.9997,                      1,                  0.995,                0.81171,                0.77555,                0.29785,                 1.2045,              0.0014062,              0.0014062,              0.0014062
